accuracy,exp,odor1,odor2,comp,animal,condition
0.6,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,bf
0.6,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,bf
0.6,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,bf
0.7,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,bf
0.6,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,bf
0.6,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,bf
0.6,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,bf
0.7,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,bf
0.8,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,bf
0.6,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,bf
0.6,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,bf
0.6,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,bf
0.6,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,bf
0.3,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,bf
0.3,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,bf
0.2,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,bf
0.3,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,bf
0.1,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A66Nt,bf
0.3,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A66Nt,bf
0.6,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A66Nt,bf
0.3,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A66Nt,bf
0.2,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A66Nt,bf
0.3,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A66Nt,bf
0.3,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A66Nt,bf
0.3,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A66Nt,bf
0.6,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A66Nt,bf
0.6,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A66Nt,bf
0.4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A66Nt,bf
0.7,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A66Nt,bf
0.8,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A66Nt,bf
0.5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A66Nt,bf
0.9,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,af
0.8,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,af
0.8,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,af
0.7,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,af
0.7,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,af
0.6,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,af
0.9,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,af
1.0,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,af
0.9,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,af
0.9,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A66Nt,af
0.7,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,af
0.8,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,af
0.9,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,af
1.0,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,af
0.8,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,af
0.8,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,af
0.9,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,af
1.0,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,af
0.7,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,af
0.6,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A66Nt,af
0.8,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,af
0.9,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,af
0.7,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,af
0.8,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,af
0.6,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,af
0.7,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,af
0.7,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,af
0.7,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,af
0.8,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,af
0.6,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A66Nt,af
0.7,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,af
0.8,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,af
0.7,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,af
0.9,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,af
0.8,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,af
0.9,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A66Nt,af
